"author","recipe_id","date","text"
"RubyRom","19","3. 2. 2023 19:30","Moanka: děkuji"
"Moanka","19","3. 2. 2023 16:39","Dobrý nápad. Ráda vyzkouším… 😋"
"janky3","19","6. 2. 2023 03:16","Anna Kocikova: Anna Kocikova: Mně jde hlavně o to, abych mohla tu šťávu pít, velké doušky. Zakysanka je výborná, ale zkoušela jsem přidat Mascarponne, také bašta. Jenže já mohu jen ochutnat. Mám diabetickou a jaterní dietu"
"Anna Kocikova","19","5. 2. 2023 18:50","Moc fajn salátJá přidávám navíc zakysanku a slunečnicová semínka"
"casino","19","5. 2. 2023 15:24","Kdysi jsem uplácel řezníky pro trochu krve do PETky... 
Kdysi jsem krev prohnal mrazákem, ale nebylo to ono... 
Mám pochopení pro nostalgické vzpomínání  v komentářích...
No, než ale toto, tak spíše totok  www.toprecepty.cz/recept/67349-cerna-zabijackova-polevka-prdelacka-z-jelitka/
Račte si všimnout posledního řádku v surovinách "
"janky3","19","5. 2. 2023 11:56","Merylas (moderátorka):  Asi máte lepší možnosti v nákupech. Já musím do městečka autem 14 km + 14 km zpět  a využít mohu jen Penny, Lidl a teď nově Billu, pak dvě řeznictví. Všude je drahé maso, k tomu nafta. Takže když dostanu dopoledne sklenici krevního základu, uvařím polévku hned a hned si ji užiji. Kostka extra silného masového vývaru má úžasnou chuť, které bych pouhým vyvařením kostí i po zredukování nedosáhla. Ale samozřejmě je to každého rozhodnutí a také finančních možností. ""Proti gustu žádnej dišputát."" Hlavně že si pochutnáme a to je hlavní."
"Merylas (moderátorka)","19","5. 2. 2023 10:53","janky3: Tak je to věc možností, názoru a chuti každého z nás.  Já u nás vepřové kosti koupím běžně, někdy mám vývaru více a tak ho zmrazím na pozdější použití. Právě, že do takových zabijačkových pokrmů bych nerada dávala nějaké vývary v kostce, spíš to, co se běžně používá při domácích zabijačkách."
"janky3","19","5. 2. 2023 02:51","Merylas (moderátorka): Vepřové kosti a žebírka se hned tak neseženou a silný masový vývar v kostce je cítit masem, je nesrovnatelně lepší než masox a používám ho ráda. Ušetřím plyn, čas a nervy při návštěvě Zemana."
"janky3","19","5. 2. 2023 02:35","radekhk:  Kdysi, když platily normy, jsem kupovávala jelítka a také z nich dělala zabíjačkovou polévku, vyvařila jsem kosti od krkovičky a kotlet, někdy jsem odkrojila spodní čast bůčku. Majoránku si pěstuji a je to síla. Ale nyní se to nedá jíst a navíc tam cpou koření, které to kazí. Uzeniny už nekupuji vůbec, jen šunku a Oravskou slaninu, najdu-li libovou."
"janky3","19","5. 2. 2023 02:16","magdalenka: Oni (od nich jsme dostali základ) vařili maso s bobkovým listem, s novým kořením a kuličkami pepře. Tak už nebylo třeba přidávat."
"Merylas (moderátorka)","19","3. 2. 2023 15:59","Taky jsme dělávali domácí zabijačky, tady bych vynechala ten vývar v kostce. Spíš bych si uvařila trochu vývaru z vepřových kostí."
"magdalenka","19","3. 2. 2023 15:32","Pridávam do podobných polievok aj nové korenie...tým sme nešetrili pri príprave krvavničiek, takže preto aj do polievky."
"radekhk","19","3. 2. 2023 14:23","Já pocházím z malé vesničky kde se dělaly zabíjačky od nepaměti a ,,pdelačka"" dělala vždy do brutaru aby bylo pro sousedy , rodinu a něco zbylo samozřejmě doma.. s kámoši stejně smyšlejícíma v práci jsme dali hlavy dohromady , zajeli do řeznictví a koupili vepřovou hlavu,koleno,lalok  a vepřový ořez a šest kroupových jelit... Nandali jsme to do 20-ti litrového hrnce , zatopili v petrách a vařili cca 2,5 hodiny v mírně osolené vodě,poté maso vyndali obrali,nasekali a udělali z něj haši. Vývar jsme opět zahřáli zredukovali tak na 5 litrů a vysypali svlečené jelita, provařil, dochutili a páni skoro jak doma... šlo by to asi i v domácích podmínkách,máme tak se zelím a bramborem kompletní oběd a zbytek polívky do mrazáku , nebo na sezvání sousedů a baštu jak kdysi"
"rozmarynaH","19","3. 2. 2023 12:52","janky3: Souzním s Vámi."
"janky3","19","3. 2. 2023 11:16","OMLOUVÁM SE? ŽE TO PÍŠI SEM, ALE POTŘEBOVALA JSEM SI POKECAT A REAGOVAT NA KOMENTÁŘ.
Marie Svarcova:  My jsme nikdy zabíjačku nedělali, neboť jsme bydlili ve městě. Vesnici jsme si užili o prázdninách u babičky v Ražicích. Ta měla králíky a slepice, ale nezabíjela je sama. Někdo se vždy našel. U babičky v Písku měli prasátko, které umřelo věkem, neboť mezi nimi vznikl přátelský vztah a kamaráda přeci nesežeru. Právě tak slepice si užívaly důchodu. Pak už se jen měly. Nyní bydlím v malé vísce, kam jsme utekli s manželem z města. Manžel mně zemřel, ale já už si nedovedu představit, že bych odtud odešla. Božský klid, jen občas zaštěká pes a ráno mě budí kohouti, od jara pak ptáci. Zpívají tak krásně, že by je mohla trumfnout snad jen hudba Smetanova či Verdiho. Občas dostanu sklenici krevního základu a tak si to užiji tak, že až světélkuji."
"Marie Svarcova","19","3. 2. 2023 09:49"," tu bych si moc ráda dala ale kde jsou ty časy kdy jsme dělávali zabíjačky "
"Merylas (moderátorka)","19","3. 2. 2023 17:35","vikikl: Děkuji za odpověď. "
"vikikl","19","3. 2. 2023 16:09","Merylas (moderátorka): Pekla jsem v teflonu, takže jsem nevymazávala a krásně se vyklopilo  Přidala jsem fotku spodku po vyklopení z formy."
"Merylas (moderátorka)","19","3. 2. 2023 15:12","Forma se nevymazává tukem a nevysypává moukou? Děkuji."
"Marie Svarcova","19","3. 2. 2023 09:51",""
"Moanka","19","4. 3. 2023 08:38","To vypadá skvěle… 👌"
"Marie Svarcova","19","3. 2. 2023 09:53"," domácí noky jsou skvělé "
"kimlo","19","20. 2. 2023 10:46","Chlieb je výborný, vďaka za recept! Pridávam foto. "
"Marie Svarcova","19","3. 2. 2023 09:57",""
"Anna Kocikova","19","3. 2. 2023 17:36","Marie Svarcova: Ano,pochutnali jsme siMaso bylo šťavnatější,než pečené v trouběDěkuji za komentář"
"Marie Svarcova","19","3. 2. 2023 09:59"," parádní dobrůtka "
"Anna Kocikova","19","5. 2. 2023 19:03","cathleen:Děkuji za odpověďKlidně to nechej tak,já to příště oddělím čárkou a nebo tu h.fritézu nebudu do názvu dávat."
"cathleen (moderátorka)","19","3. 2. 2023 18:36","Anna Kocikova: upravila jsem při opravě a aktivaci receptu já. Zdá se mi, ze v názvu bez uvozovek se ta fritéza týka mozzarelly. ...ve smyslu - maso z mozzarellou pocházející z fritézy.
Chceš to vrátit zpět?"
"Anna Kocikova","19","3. 2. 2023 18:04","Komu vadil název receptu,že mi ho upravil a dal do závorky konec názvu-z horkovzdušné fritézy
Nejsem žádný cimprlich,jen mě zarazilo,že zbývajících 8 jídel připravovaných v HF tu závorku v názvu nemá."
"Marie Svarcova","19","10. 3. 2023 22:22","Moanka: léta praxe "
"Moanka","19","10. 3. 2023 22:21","Marie Svarcova: To je chytré…  "
"Marie Svarcova","19","10. 3. 2023 22:11","Moanka:  to je pravda, to já raději dělám ráno, abych neměla hlad večer   Užij si to "
"Moanka","19","10. 3. 2023 22:03","Mňam.   Na to se těším… 
Takhle večer brouzdat v Topreceptech, to je mučení…  "
"Anna Kocikova","19","2. 2. 2023 20:53","Marie Svarcova: Maruško,děkuji Ti"
"Marie Svarcova","19","2. 2. 2023 11:39"," vypadá to velmi dobře a určitě i dobře chutná - to musím vyzkoušet "
"Anna Kocikova","19","2. 2. 2023 11:25","SilviaD: Děkuji za zájem a za dotazDíky němu jsem si všimla,že mi v bodě č.4 vypadlo přidání medu a hořčice,doplním. A ano,jsou myšlené 3 polévkové lžíce.Dávám zarovnané,nám to chuťově vyhovuje.Ale můžete dát o něco méně,dochutit se to dá vždy"
"SilviaD","19","2. 2. 2023 08:14","Máme radi pečienku a tento recept vyzerá veľmi dobre. Chcem sa spýtať, na ten med a horčicu. Kedy ich tam pridávate? Sú myslené 3 polievkové lyžice medu? Nie je to príliš sladké?"
"mika59","19","9. 3. 2023 11:09","Saratice: Děkuji moc, jsem ráda, že chutnalo"
"Saratice","19","9. 3. 2023 09:34","Jsou výborné, mohu doporučit. "
"Marie Svarcova","19","4. 3. 2023 10:09"," mám ráda marinované masíčko v kefíru, jogurtu apod. je výborné a šťavnaté - moc pěkný recept i foto. "
"Saratice","19","20. 2. 2023 21:34","Včera vyzkoušeno a můžu vřele doporučit. "
"Marie Svarcova","19","31. 1. 2023 14:50"," líbí se mi,
 moje oblíbené, mám raději slané než sladké "
"vikikl","19","1. 2. 2023 09:29","Marie Svarcova: Určitě doporučuju, jsou vynikající. Pekla jsem je zatím dvakrát a pokaždé se po nich zaprášilo o) Snadná, celkem rychlá příprava a s těstem se krásně pracuje "
"Marie Svarcova","19","1. 2. 2023 09:20"," recept se mi líbí, určitě udělám "
"RubyRom","19","1. 2. 2023 21:58","Anna Kocikova: moc děkuji "
