"recipe_id","name","description","amount"
"2","Smetana kravská zakysaná 12%","['200 g', '200 g ', ' zakysané smetany']","200 g"
"2","Vejce slepičí","['3', '3 ', ' vejce']","3"
"2","Sůl mořská","['1 špetka', '1 špetka ', ' soli']","1 špetka"
"2","Krupice pšeničná jemná","['10 lžic', '10 lžic ', ' dětské krupičky']","10 lžic"
"2","Cukr bílý","['2 lžíce', '2 lžíce ', ' krupicového cukru']","2 lžíce"
"2","Kypřící prášek","['1 lžička', '1 lžička ', ' prášku do pečiva']","1 lžička"
"2","Máslo kravské","['2 lžíce', '2 lžíce ', ' rozpuštěného másla']","2 lžíce"
"2","","['']","
"
"2","Ghí","['přepuštěné máslo']","
"
"2","","['']","
"
"2","Tvaroh polotučný","['500 g', '500 g ', ' tvarohu v kostce']","500 g"
"2","Smetana kravská sladká 30%","['250 ml', '250 ml ', ' smetany ke šlehání']","250 ml"
"2","Mléko kravské polotučné 1,5%","['50 ml', '50 ml ', ' mléka']","50 ml"
"2","Cukr bílý","['cukr (podle chuti)']","
"
"2","","['']","
"
"2","Jahody čerstvé","['ovoce']","
"
"2","Sádlo vepřové","['1 lžíce', '1 lžíce ', ' sádla']","1 lžíce"
"2","Cibule čerstvá","['1', '1 ', ' cibule']","1"
"2","Vepřová krkovice","['350 g', '350 g ', ' vepřové krkovice']","350 g"
"2","Sůl mořská","['sůl']","
"
"2","Pepř černý","['pepř']","
"
"2","Paprika uzená","['1 lžíce', '1 lžíce ', ' mleté uzené papriky']","1 lžíce"
"2","Paprika bílá čerstvá","['2', '2 ', ' papriky']","2"
"2","Hrášek zelený","['hrášek']","
"
"2","Rýže bílá","['1 hrnek', '1 hrnek ', ' rýže']","1 hrnek"
"2","Víno bílé suché","['0,5 hrnku', '0,5 hrnku ', ' bílého vína']","0,5 hrnku"
"2","Vývar masový","['1,5', '1,5 ', '  hrnku vývaru (nebo vody)']","1,5"
"2","","['']","
"
"2","Sýr kravský tvrdý 30%","['strouhaný sýr']","
"
"2","Petržel nať čerstvá","['petrželka']","
"
"2","","['']","
"
"2","Máslo kravské","['50 g', '50 g ', ' másla (asi 3 lžíce)']","50 g"
"2","Mléko kravské polotučné 1,5%","['120 ml', '120 ml ', ' mléka']","120 ml"
"2","Mléko kravské polotučné sušené","['180 g', '180 g ', ' sušeného mléka']","180 g"
"2","Cukr bílý","['120 g', '120 g ', ' moučkového cukru']","120 g"
"2","Pistácie","['40 g', '40 g ', ' nesolených, nepražených pistácií (nebo mandlí)']","40 g"
"2","Kardamom prášek","['0,5 lžičky', '0,5 lžičky ', ' mletého kardamomu (cca 5 tobolek)']","0,5 lžičky"
"2","","['']","
"
"2","Mouka pšeničná hladká","['360 g', '360 g ', ' hladké mouky']","360 g"
"2","Voda","['voda']","
"
"2","Máslo kravské","['50 g', '50 g ', ' másla (asi 3 lžíce)']","50 g"
"2","Ghí","['přepuštěné máslo na smažení (nebo olej)']","
"
"2","Kari","['1 lžička', '1 lžička ', ' kari koření']","1 lžička"
"2","Kurkuma mletá","['0,5 lžičky', '0,5 lžičky ', ' kurkumy']","0,5 lžičky"
"2","Kardamom prášek","['0,5 lžičky', '0,5 lžičky ', ' mletého kardamomu']","0,5 lžičky"
"2","Koriandr list sušený","['0,5 lžičky', '0,5 lžičky ', ' mletého koriandru']","0,5 lžičky"
"2","Skořice ceylonská mletá","['0,33 lžičky', '0,33 lžičky ', ' mleté skořice']","0,33 lžičky"
"2","Hřebíček","['0,33 lžičky', '0,33 lžičky ', ' mletého hřebíčku']","0,33 lžičky"
"2","Pepř černý","['1 špetka', '1 špetka ', ' pepře']","1 špetka"
"2","Lilek čerstvý","['200 g', '200 g ', ' lilku']","200 g"
"2","","['1 lžíce', '1 lžíce ', ' olivového nebo kokosového  oleje']","1 lžíce"
"2","Cibule čerstvá","['1', '1 ', ' cibule']","1"
"2","Cibule červená čerstvá","['0,5', '0,5 ', ' červené cibule']","0,5"
"2","Česnek čerstvý","['2 stroužky', '2 stroužky ', ' česneku']","2 stroužky"
"2","Zázvor čerstvý","['2 plátky', '2 plátky ', ' čerstvého zázvoru']","2 plátky"
"2","Chilli paprička čerstvá","['1', '1 ', ' chilli paprička']","1"
"2","Mrkev čerstvá","['100 g', '100 g ', ' mrkve']","100 g"
"2","Brokolice čerstvá","['200', '200 ', ' g růžiček brokolice']","200"
"2","Celer bulva čerstvá","['2 řapíky', '2 řapíky ', ' celeru']","2 řapíky"
"2","Paprika červená čerstvá","['0,5', '0,5 ', ' čerstvé červené papriky']","0,5"
"2","Paprika bílá čerstvá","['1', '1 ', ' malá bílá paprika']","1"
"2","Vývar zeleninový","['100 ml', '100 ml ', ' zeleninového vývaru']","100 ml"
