"recipe_id","name","value","unit"
"7","Energie","3 429","3 429 kJ / 820 kcal"
"7","Bílkoviny","27,84","27,84 g"
"7"," – z toho živočišné bílkoviny","25,73","25,73 g"
"7"," – z toho rostlinné bílkoviny","2,11","2,11 g"
"7","Tuky","70,65","70,65 g"
"7"," – nasycené","23,73","23,73 g"
"7"," – nenasycené","42,03","42,03 g"
"7"," –– mononenasycené","18,19","18,19 g"
"7"," –– polynenasycené","23,84","23,84 g"
"7"," ––– omega 3","0,85","0,85 g"
"7","Vláknina","8,80","8,80 g"
"7","Cholesterol","166","
166 mg
	"
"7","Sodík","1,62","
1,62 g
	"
"7","Sůl","4,20","4,20 g"
"7","Sacharidy","15,64","15,64 g"
"7"," – cukry","8,34","8,34 g"
"7"," ––– laktóza","3,23","3,23 g"
"7","Energie","1 518","1 518 kJ / 363 kcal"
"7","Bílkoviny","18,91","18,91 g"
"7"," – z toho živočišné bílkoviny","13,02","13,02 g"
"7"," – z toho rostlinné bílkoviny","5,89","5,89 g"
"7","Tuky","11,67","11,67 g"
"7"," – nasycené","2,79","2,79 g"
"7"," – nenasycené","5,31","5,31 g"
"7"," –– mononenasycené","4,20","4,20 g"
"7"," –– polynenasycené","1,11","1,11 g"
"7"," ––– omega 3","0,06","0,06 g"
"7","Vláknina","8,81","8,81 g"
"7","Cholesterol","389","
389 mg
	"
"7","Sodík","167","
167 mg
	"
"7","Sůl","0,32","0,32 g"
"7","Sacharidy","42,90","42,90 g"
"7"," – cukry","2,63","2,63 g"
"7"," ––– laktóza","0,00","0,00 g"
"7","Energie","6 105","6 105 kJ / 1 459 kcal"
"7","Bílkoviny","105,46","105,46 g"
"7"," – z toho živočišné bílkoviny","100,24","100,24 g"
"7"," – z toho rostlinné bílkoviny","5,22","5,22 g"
"7","Tuky","99,27","99,27 g"
"7"," – nasycené","38,60","38,60 g"
"7"," – nenasycené","46,10","46,10 g"
"7"," –– mononenasycené","36,85","36,85 g"
"7"," –– polynenasycené","9,25","9,25 g"
"7"," ––– omega 3","0,47","0,47 g"
"7","Vláknina","10,10","10,10 g"
"7","Cholesterol","318","
318 mg
	"
"7","Sodík","284","
284 mg
	"
"7","Sůl","0,50","0,50 g"
"7","Sacharidy","33,29","33,29 g"
"7"," – cukry","11,01","11,01 g"
"7"," ––– laktóza","0,16","0,16 g"
"7","Energie","7 979","7 979 kJ / 1 907 kcal"
"7","Bílkoviny","32,85","32,85 g"
"7"," – z toho živočišné bílkoviny","16,67","16,67 g"
"7"," – z toho rostlinné bílkoviny","16,18","16,18 g"
"7","Tuky","19,86","19,86 g"
"7"," – nasycené","6,29","6,29 g"
"7"," – nenasycené","10,68","10,68 g"
"7"," –– mononenasycené","6,39","6,39 g"
"7"," –– polynenasycené","4,29","4,29 g"
"7"," ––– omega 3","0,05","0,05 g"
"7","Vláknina","7,08","7,08 g"
"7","Cholesterol","278","
278 mg
	"
"7","Sodík","619","
619 mg
	"
"7","Sůl","1,42","1,42 g"
"7","Sacharidy","385,28","385,28 g"
"7"," – cukry","147,48","147,48 g"
"7"," ––– laktóza","10,60","10,60 g"
"7","Energie","4 779","4 779 kJ / 1 142 kcal"
"7","Bílkoviny","34,72","34,72 g"
"7"," – z toho živočišné bílkoviny","34,72","34,72 g"
"7"," – z toho rostlinné bílkoviny","0,00","0,00 g"
"7","Tuky","110,24","110,24 g"
"7"," – nasycené","12,72","12,72 g"
"7"," – nenasycené","85,20","85,20 g"
"7"," –– mononenasycené","61,60","61,60 g"
"7"," –– polynenasycené","23,60","23,60 g"
"7"," ––– omega 3","6,67","6,67 g"
"7","Vláknina","0,00","0,00 g"
"7","Cholesterol","1,04","
1,04 g
	"
"7","Sodík","398","
398 mg
	"
"7","Sůl","0,84","0,84 g"
"7","Sacharidy","2,80","2,80 g"
"7"," – cukry","0,00","0,00 g"
"7"," ––– laktóza","0,00","0,00 g"
"7","Energie","909","909 kJ / 217 kcal"
"7","Bílkoviny","3,92","3,92 g"
"7"," – z toho živočišné bílkoviny","0,00","0,00 g"
"7"," – z toho rostlinné bílkoviny","3,92","3,92 g"
"7","Tuky","11,64","11,64 g"
"7"," – nasycené","0,92","0,92 g"
"7"," – nenasycené","10,13","10,13 g"
"7"," –– mononenasycené","7,04","7,04 g"
