"step_link","recipe_id","name","order"
"","18","



					Do kastrůlku dáme kuskus, zalijeme mlékem, přidáme cukr, špetku soli, máslo, rozinky máčené v rumu i se zbytkem rumu, který se nevsákl do rozinek.
				

","1"
"","18","



					Za stálého míchání povaříme na mírném plameni. Necháme vychladnout.
				

","2"
"","18","



					Jablka a pomeranč nakrájíme na kostičky. 
Do pánve dáme cukr a necháme zkaramelizovat a přidáme ovoce. 
Za stálého míchání zahříváme asi 8 minut.
				

","3"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/jak-pripravit-kuskus/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Kuskus lze připravit snadno a rychle. Jeho využití v kuchyni je všestranné
</span>
</a>
</p>","18","



					Kuskus klademe po lžicích do misek, přidáme ořechy a ovoce a opět kuskus. Zakončíme kuskusem a ozdobíme hromádkou ovoce a ořechy. 
Ještě trochu podlijeme šťávou z pomeranče.
				



TIP 					Kuskus lze připravit snadno a rychle. Jeho využití v kuchyni je všestranné



","4"
"","18","



					Do rozehřátého hrnce s olejem dáme nasekanou cibuli a mrkev nakrájenou na kostičky. Restujeme, dokud nezačne chytat barvu.
				

","1"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/jak-pasirovat-rajcata/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Jak pasírovat rajčata
</span>
</a>
</p>","18","



					Přidáme nasekaný česnek a sušené bylinky, promícháme a přilijeme passatu.
				



TIP 					Jak pasírovat rajčata



","2"
"","18","



					Zalijeme vývarem a přivedeme k varu. Na snížené teplotě vaříme, dokud mrkev nezměkne. Částečně nebo úplně rozmixujeme, přidáme propláchnuté a na sítu okapané fazole a necháme prohřát.
				

","3"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/recepty-na-zeleninove-polevky-plodova-zelenina/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Nejlepší zeleninové polévky
</span>
</a>
</p>","18","



					Ochutíme solí, pepřem a zjemníme smetanou. Můžeme přidat čerstvé nasekané bylinky dle chuti.
				



TIP 					Nejlepší zeleninové polévky



","4"
"","18","



					Uvaříme rýži a necháme ji vychladnout. Ideálně by měla být sypká a třeba i z předchozího dne.
				

","1"
"","18","



					Na pánvi rozehřejeme lžíci oleje, přidáme rýži a za stálého míchání restujeme. Přidáme chilli, nastrouhaný česnek, sójovou omáčku a ještě minutku mícháme.
				

","2"
"","18","



					Na druhé pánvi připravíme míchaná vejce.
				

","3"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/smazena-ryze-oblibene-recepty/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Smažená rýže - oblíbené recepty
</span>
</a>
</p>","18","



					Obsah obou pánví smícháme a hned podáváme.
				



TIP 					Smažená rýže - oblíbené recepty



","4"
"","18","



					V menší misce promícháme kakao s cukrem, které použijeme na obalení kuliček.
				

","1"
"","18","



					Brusinky nakrájíme nadrobno, ve větší misce smícháme s ostatními surovinami a necháme cca 20 minut odpočinout.
				

","2"
"","18","



					Pokud bude hmota řidší, přidáme o něco víc sladké strouhanky. V opačném případě více rumu.
				

","3"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-tvarovat-kulicky-z-nepeceneho-testa-tipy/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Jak tvarovat kuličky z nepečeného těsta

		</a>
</p>","18","



					Poté pomocí lžičky odebíráme z hmoty menší kousky, z kterých tvarujeme kuličky a klademe do misky se směsí na obalení.
				








        
											Jak tvarovat kuličky z nepečeného těsta

		

","4"
"","18","



					Kuličky postupně obalíme a pokládáme je do uzavíratelné krabičky. Necháme je 1-2 dny uležet v chladu.
				

","5"
"","18","



					Před konzumací kuličky posypeme moučkovým cukrem.
				

","6"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-nakrajet-zeli/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Jak nakrájet zelí

		</a>
</p>","18","



					Zelí nakrájíme na nudličky.
				








        
											Jak nakrájet zelí

		

","1"
"","18","



					Feferonky a papriku nakrájíme na menší kostky (oboje samozřejmě bez semeníku) a dáme do větší mísy.
				

","2"
"","18","



					V hrníčku připravíme zálivku tak, že smícháme olej, cukr, ocet a sůl.
				

","3"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/podzimni-salaty/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Podzimní zeleninové saláty plné vitamínů
</span>
</a>
</p>","18","



					Promícháme s připravenou zeleninou a salát necháme alespoň hodinu uležet v chladu.
				



TIP 					Podzimní zeleninové saláty plné vitamínů



","4"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-spikovat-kralika/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Jak špikovat králíka a připravit slaninu

		</a>
</p>","18","



					Dva dny před vlastní přípravou rozkrájíme králíka na porce a prošpikujeme na klínky nakrájenou slaninou.
				








        
											Jak špikovat králíka a připravit slaninu

		

","1"
"","18","



					Uložíme do vhodné nádoby, přidáme 5 nakrájených šalotek, mrkev nakrájenou na kolečka, koření, a zalijeme vínem. Necháme 2 dny uležet v chladu. Během té doby porce obrátíme.
				

","2"
"","18","



					Potom maso vyjmeme, necháme okapat a opečeme na másle se zbylou šalotkou, kterou nakrájíme na větší dílky. Zalijeme sklenkou marinády a dusíme pod pokličkou na mírném plameni za občasného přilití marinády. Můžeme péct i v troubě přikryté poklicí.
				

","3"
"","18","



					Měkké maso vyjmeme a přikryjeme, aby neoschlo.
				

","4"
"","18","



					Omáčku ještě chvíli vaříme, rozmixujeme s šalotkami a přilijeme smetanu rozmíchanou se žloutkem. Prohřejeme a maso omáčkou zalijeme.
				

","5"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/jak-porcovat-kralika-nejlepsi-recepty-z-kraliciho-masa/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Nejlepší recepty z králičího masa
</span>
</a>
</p>","18","



					Podáváme s brambory.
				



TIP 					Nejlepší recepty z králičího masa



","6"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-nakrajet-cibuli/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Jak nakrájet cibuli

		</a>
</p>","18","



					Na olivovém oleji osmahneme cibuli nakrájenou na drobno. Postupně přidáváme pokrájený česnek, mrkev nakrájenou na kolečka a kapii na kostičky. Osolíme, přiklopíme a necháme cca 15 minut. Občas promícháme.
				








        
											Jak nakrájet cibuli

		

","1"
"","18","



					Mezitím nachystáme kuřecí maso, které nakrájíme na kousky. V míse osolíme, opepříme a společně s italskými bylinkami promícháme. Necháme odpočinout.
				

","2"
"","18","



					K zelenině přidáme konzervu rajčat, rajčatové pyré, kuřecí vývar a bobkový list. Opepříme čerstvě mletým pepřem a necháme asi 15 minut vařit.
				

","3"
"","18","



					V tomto čase na másle do zlatova osmahneme kuřecí kousky.
				

","4"
"","18","



					Hotové maso buď vmícháme do polévky nebo je klademe na talíř s polévkou.
				

","5"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/abeceda-polevek/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Abeceda polévek - recepty na každý den
</span>
</a>
</p>","18","



					Podáváme sypané parmazánem a můžeme přidat lžíci zakysané smetany.
				



TIP 					Abeceda polévek - recepty na každý den



","6"
"","18","



					Jablka oloupeme a nastrouháme. Přidáme nahrubo nastrouhané camemberty, máslo a špetku soli.
				

","1"
"","18","



					Vše dobře promícháme.
				

","2"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/syry-v-kuchyni/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Sýrové pokrmy. Jak využít sýry v kuchyni?
</span>
</a>
</p>","18","



					Pomazánku natřeme na pečivo a posypeme sekanými ořechy.
				



TIP 					Sýrové pokrmy. Jak využít sýry v kuchyni?



","3"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-dlouho-namacet-susene-houby/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Jak dlouho namáčet sušené houby

		</a>
</p>","18","



					Budeme-li používat sušené houby, předem je namočíme do teplé vody.
				








        
											Jak dlouho namáčet sušené houby

		

","1"
"","18","



					Očištěné maso nakrájíme na 6 větších kousků, osolíme je, opepříme a v hluboké pánvi opečeme na sádle ze všech stran. Přidáme bobkový list, zeleninu nakrájenou na kostičky a cibuli nasekanou nahrubo.
				

","2"
"","18","



					Promícháme a restujeme, až začne chytat barvu. Podlijeme vývarem a přidáme v čajítku koření. Přivedeme k varu a na snížené teplotě dusíme cca 30 minut. Přidáme čerstvé nebo rozmrazené houby, pokud sušené, tak i s vodou ve které byly namočené.
				

","3"
"","18","



					Dusíme do změknutí masa za občasného podlití vývarem.
				

","4"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-na-domaci-jisku/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Jak na domácí jíšku

		</a>
</p>","18","



					Zatím upražíme na sádle jíšku ze stejného množství sádla i mouky (1:1). Poté omáčku zahustíme a provaříme.
				








        
											Jak na domácí jíšku

		

","5"
"","18","



					Podáváme s bramborovou kaší nebo přílohou podle chuti.
				

","6"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-varit-jahly/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Jak vařit jáhly

		</a>
</p>","18","



					Nejdříve uvařte jáhly. Ty před varem důkladně propláchněte, několikrát je spařte vroucí vodou a pak vařte do měkka. Ideální je, namočit je ve vodě na noc. Já je vařím předem v rýžovaru ve větším množství, abych je na pečení samotné měla již připravené.
				








        
											Jak vařit jáhly

		

","1"
"","18","



					Až jsou jáhly uvařené, nechte je vychladnout a připravte si zbytek surovin.
				

","2"
"","18","



					Ve velké míse vyšlehejte tvaroh a vejce, přidejte sladidlo podle libosti, špetku soli a jáhly.
				

","3"
"","18","



					Zamíchejte a na závěr opatrně vmíchejte sezónní ovoce podle chuti a předem namočenou kustovnici nebo rozinky. Pokud budete dávat hrušky, je vhodnější je dát až navrch jáhelníku, aby se lehce opekly.
				

","4"
"","18","



					Pečicím papírem vyložte formu na pečení a vlijte vzniklou směs. Pečte cca 30 min na 170 °C.
				

","5"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/sladka-jidla/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Nejoblíbenější sladká jídla
</span>
</a>
</p>","18","



					Nechte dezert vychladnout, ideálně jej nechte přes noc v lednici a druhý den bude dezert ideální – bude krásně držet tvar.
				



TIP 					Nejoblíbenější sladká jídla



","6"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-nakrajet-zeli/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Jak nakrájet zelí - jednoduchý postup

		</a>
</p>","18","



					Zelí nakrouháme najemno a osolíme.
				








        
											Jak nakrájet zelí - jednoduchý postup

		

","1"
"","18","



					Rukou promneme, aby zelí pustilo šťávu a přidáme cukr, ocet a trošku oleje.
				

","2"
"","18","



					Napěchujeme do sklenic a zavřeme víčky. V lednici vydrží měsíc bez zavařování.
				

","3"
"","18","



					Oloupaná jablka a ementál nastrouháme najemno.
				

","1"
"","18","



					Pak přidáme majolku, žervé, kurkumu a promícháme.
				

","2"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/prehled-pomazanek/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Velký přehled pomazánek

		</a>
</p>","18","



					Směs zakapeme citronem a podle chuti dosolíme.
				








        
											Velký přehled pomazánek

		

","3"
"","18","



					Brambory oloupeme a nakrájíme na kostičky. 
Dáme do mísy a přidáme nakrájenou uzeninu, pórek, papriku, olej a prolisovaný česnek. 
Přidáme sůl a pepř.
				

","1"
"","18","



					V míse smícháme vejce a kysanou smetanu a vlijeme do mísy. Všechno promícháme.
				

","2"
"","18","



					Zapékací misky vymažeme máslem a naplníme směsí.
				

","3"
"","18","



					Vložíme do trouby a pečeme na 190 st. asi 25-30 minut.
				

","4"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/top-7-jidla-z-jednoho-pekacku/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Oblíbené pokrmy z jednoho pekáčku
</span>
</a>
</p>","18","



					Brambory posypeme strouhaným sýrem a pečeme ještě chvilku dozlatova.
				



TIP 					Oblíbené pokrmy z jednoho pekáčku



","5"
"","18","



					Z mléka, pudinkového prášku a cukru uvaříme pudink.
				

","1"
"","18","



					Do teplého pudinku přidáme tvaroh a kakao a ručním šlehačem ušleháme.
				

","2"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/varime-s-detmi-pudinkovy-pohar/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Pudinkové poháry pro děti
</span>
</a>
</p>","18","



					Krém dáme do pohárů a posypeme čokoládovými hoblinkami. 
Necháme vychladit.
				



TIP 					Pudinkové poháry pro děti



","3"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-udelat-kvasek-z-drozdi/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Jak udělat kvásek

		</a>
</p>","18","



					Z části vlažného mléka a droždí uděláme kvásek a necháme ho 10 minut odpočinout.
				








        
											Jak udělat kvásek

		

","1"
"","18","



					Poté smícháme v robotu nebo ručně společně s kváskem i ostatní suroviny tj. mouku, sůl, žloutek, změklé sádlo, zbytek vlažného mléka a vytvoříme těsto. Přímo do těsta můžeme přidat i mák. Mísu překryjeme utěrkou a těsto necháme vykynout.
				

","2"
"","18","



					Z těsta vyválíme plát a radýlkem nakrájíme požadované tvary.
				

","3"
"","18","



					Dáme je na plech s pečicím papírem, potřeme rozšlehaným bílkem (proto, aby byly lesklé, jiný účel to nemá). Posypeme mákem (pokud jsme mák nepřidali přímo do těsta) a necháme opět trochu vykynout.
				

","4"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/slane-tycinky/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Možná budete chtít vyzkoušet i slané tyčinky
</span>
</a>
</p>","18","



					Pečeme na 200 °C cca 15 až 20 minut
				



TIP 					Možná budete chtít vyzkoušet i slané tyčinky



","5"
